Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0005,NuGet package is deprecated,Active,Optional,1,SampleTopshelfService\SampleTopshelfService.csproj,File,SampleTopshelfService\SampleTopshelfService.csproj,,,Serilog.Sinks.ColoredConsole 3.0.1,,,,,"Serilog.Sinks.ColoredConsole, 3.0.1  Recommendation:  Should be replaced. Remove Serilog.Sinks.ColoredConsole, and replace with new package Serilog.Sinks.ColoredConsole, 3.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SampleTopshelfService\SampleTopshelfService.csproj,File,SampleTopshelfService\SampleTopshelfService.csproj,,,,,,,,Current target framework: net452;netcoreapp2.1 Recommended target framework: net452;netcoreapp2.1;net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SampleTopshelfService\SampleTopshelfService.csproj,File,SampleTopshelfService\SampleService.cs,39,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,hostControl.RequestAdditionalTime(TimeSpan.FromSeconds(10));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SampleTopshelfService\SampleTopshelfService.csproj,File,SampleTopshelfService\Program.cs,43,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,x.SetStopTimeout(TimeSpan.FromSeconds(10));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SampleTopshelfService\SampleTopshelfService.csproj,File,SampleTopshelfService\Program.cs,42,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,x.SetStartTimeout(TimeSpan.FromSeconds(10));
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Topshelf\Topshelf.csproj,File,Topshelf\Topshelf.csproj,,,System.Runtime.InteropServices.RuntimeInformation 4.3.0,,,,,"System.Runtime.InteropServices.RuntimeInformation, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Topshelf\Topshelf.csproj,File,Topshelf\Topshelf.csproj,,,,,,,,Current target framework: net452;netstandard2.0 Recommended target framework: net452;netstandard2.0;net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceRecoveryController.cs,23,9,T:System.Security.Permissions.SecurityPermissionAttribute,,,,,"SecurityPermission(SecurityAction.LinkDemand, UnmanagedCode = true)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceRecoveryController.cs,69,16,M:System.TimeSpan.FromDays(System.Double),,,,,failureActions.dwResetPeriod =                      (int)TimeSpan.FromDays(options.ResetPeriod).TotalSeconds;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,344,16,M:System.TimeSpan.FromHours(System.Double),,,,,Thread.Sleep(TimeSpan.FromHours(1));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,333,12,M:System.ServiceProcess.ServiceBase.Stop,,,,,Stop();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,330,12,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.AbnormalExit;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,308,12,M:System.ServiceProcess.ServiceBase.Dispose(System.Boolean),,,,,base.Dispose(disposing);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,257,8,T:System.ServiceProcess.PowerBroadcastStatus,,,,,protected override bool OnPowerEvent(PowerBroadcastStatus powerStatus)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,276,16,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.ServiceControlRequestFailed;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,235,8,T:System.ServiceProcess.SessionChangeDescription,,,,,protected override void OnSessionChange(SessionChangeDescription changeDescription)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,252,16,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.ServiceControlRequestFailed;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,230,16,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.ServiceControlRequestFailed;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,169,16,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.AbnormalExit;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,163,16,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.ServiceControlRequestFailed;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,142,16,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.ServiceControlRequestFailed;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,107,16,M:System.ServiceProcess.ServiceBase.Stop,,,,,Stop();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,106,20,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) exitCode.Value;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,102,12,P:System.ServiceProcess.ServiceBase.CanStop,,,,,"if (CanStop)              {                  _log.Debug(""Stop requested by hosted service"");                  if (exitCode.HasValue)                      ExitCode = (int) exitCode.Value;                  Stop();              }              else              {                  _log.Debug(""Stop requested by hosted service, but service cannot be stopped at this time"");                  throw new ServiceControlException(""The service cannot be stopped at this time"");              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,86,12,M:System.ServiceProcess.ServiceBase.RequestAdditionalTime(System.Int32),,,,,RequestAdditionalTime((int) timeRemaining.TotalMilliseconds);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,79,12,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,"return (TopshelfExitCode) Enum.ToObject(typeof(TopshelfExitCode), ExitCode);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,77,12,T:System.ServiceProcess.ServiceBase,,,,,Run(this);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,77,12,M:System.ServiceProcess.ServiceBase.Run(System.ServiceProcess.ServiceBase),,,,,Run(this);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,71,16,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.ServiceNotInstalled;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,62,12,P:System.ServiceProcess.ServiceBase.ExitCode,,,,,ExitCode = (int) TopshelfExitCode.Ok;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,53,12,P:System.ServiceProcess.ServiceBase.ServiceName,,,,,ServiceName = _settings.ServiceName;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,52,12,P:System.ServiceProcess.ServiceBase.CanHandleSessionChangeEvent,,,,,CanHandleSessionChangeEvent = settings.CanSessionChanged;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,51,12,P:System.ServiceProcess.ServiceBase.CanHandlePowerEvent,,,,,CanHandlePowerEvent = settings.CanHandlePowerEvent;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,50,12,P:System.ServiceProcess.ServiceBase.CanShutdown,,,,,CanShutdown = settings.CanShutdown;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Topshelf\Topshelf.csproj,File,Topshelf\Runtime\Windows\WindowsServiceHost.cs,49,12,P:System.ServiceProcess.ServiceBase.CanPauseAndContinue,,,,,CanPauseAndContinue = settings.CanPauseAndContinue;
